Key,Category,Sub Category,Sub Sub Category
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F0_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F2_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F0_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F3_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F0_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F0_IMG0_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F3_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F2_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F2_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F2_IMG2_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F2_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F2_IMG4_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F3_IMG1_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F1_IMG1_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F0_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F2_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F2_IMGALL_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F2_IMGALL_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F4_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^pONZ_MC_BOT_F0_IMG0,ONZ item,DTN,ONZ item_ONZ_ONZ
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F2_IMG4_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG4_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F0_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F0_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F4_IMG3_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
